entity,iso_code,date,indicator,value,continent,total_deaths,new_deaths,icu_patients,hosp_patients,hospital_beds_per_thousand,population
Australia,AUS,2020-04-05,Daily ICU occupancy,96.0,Oceania,36.0,20.0,96.0,457.0,3.84,26177410.0
Australia,AUS,2020-04-05,Daily ICU occupancy per million,3.667,Oceania,36.0,20.0,96.0,457.0,3.84,26177410.0
Australia,AUS,2020-04-05,Daily hospital occupancy,457.0,Oceania,36.0,20.0,96.0,457.0,3.84,26177410.0
Australia,AUS,2020-04-05,Daily hospital occupancy per million,17.458,Oceania,36.0,20.0,96.0,457.0,3.84,26177410.0
Australia,AUS,2020-04-12,Daily ICU occupancy,79.0,Oceania,61.0,25.0,79.0,227.0,3.84,26177410.0
Australia,AUS,2020-04-12,Daily ICU occupancy per million,3.018,Oceania,61.0,25.0,79.0,227.0,3.84,26177410.0
Australia,AUS,2020-04-12,Daily hospital occupancy,227.0,Oceania,61.0,25.0,79.0,227.0,3.84,26177410.0
Australia,AUS,2020-04-12,Daily hospital occupancy per million,8.672,Oceania,61.0,25.0,79.0,227.0,3.84,26177410.0
Australia,AUS,2020-04-19,Daily ICU occupancy,49.0,Oceania,73.0,12.0,49.0,170.0,3.84,26177410.0
Australia,AUS,2020-04-19,Daily ICU occupancy per million,1.872,Oceania,73.0,12.0,49.0,170.0,3.84,26177410.0
Australia,AUS,2020-04-19,Daily hospital occupancy,170.0,Oceania,73.0,12.0,49.0,170.0,3.84,26177410.0
Australia,AUS,2020-04-19,Daily hospital occupancy per million,6.494,Oceania,73.0,12.0,49.0,170.0,3.84,26177410.0
Australia,AUS,2020-04-26,Daily ICU occupancy,43.0,Oceania,85.0,12.0,43.0,113.0,3.84,26177410.0
Australia,AUS,2020-04-26,Daily ICU occupancy per million,1.643,Oceania,85.0,12.0,43.0,113.0,3.84,26177410.0
Australia,AUS,2020-04-26,Daily hospital occupancy,113.0,Oceania,85.0,12.0,43.0,113.0,3.84,26177410.0
Australia,AUS,2020-04-26,Daily hospital occupancy per million,4.317,Oceania,85.0,12.0,43.0,113.0,3.84,26177410.0
Australia,AUS,2020-05-03,Daily ICU occupancy,28.0,Oceania,99.0,14.0,28.0,70.0,3.84,26177410.0
Australia,AUS,2020-05-03,Daily ICU occupancy per million,1.07,Oceania,99.0,14.0,28.0,70.0,3.84,26177410.0
Australia,AUS,2020-05-03,Daily hospital occupancy,70.0,Oceania,99.0,14.0,28.0,70.0,3.84,26177410.0
Australia,AUS,2020-05-03,Daily hospital occupancy per million,2.674,Oceania,99.0,14.0,28.0,70.0,3.84,26177410.0
Australia,AUS,2020-05-10,Daily ICU occupancy,16.0,Oceania,101.0,2.0,16.0,49.0,3.84,26177410.0
Australia,AUS,2020-05-10,Daily ICU occupancy per million,0.611,Oceania,101.0,2.0,16.0,49.0,3.84,26177410.0
Australia,AUS,2020-05-10,Daily hospital occupancy,49.0,Oceania,101.0,2.0,16.0,49.0,3.84,26177410.0
Australia,AUS,2020-05-10,Daily hospital occupancy per million,1.872,Oceania,101.0,2.0,16.0,49.0,3.84,26177410.0
Australia,AUS,2020-05-17,Daily ICU occupancy,12.0,Oceania,103.0,2.0,12.0,45.0,3.84,26177410.0
Australia,AUS,2020-05-17,Daily ICU occupancy per million,0.458,Oceania,103.0,2.0,12.0,45.0,3.84,26177410.0
Australia,AUS,2020-05-17,Daily hospital occupancy,45.0,Oceania,103.0,2.0,12.0,45.0,3.84,26177410.0
Australia,AUS,2020-05-17,Daily hospital occupancy per million,1.719,Oceania,103.0,2.0,12.0,45.0,3.84,26177410.0
Australia,AUS,2020-05-24,Daily ICU occupancy,5.0,Oceania,107.0,4.0,5.0,31.0,3.84,26177410.0
Australia,AUS,2020-05-24,Daily ICU occupancy per million,0.191,Oceania,107.0,4.0,5.0,31.0,3.84,26177410.0
Australia,AUS,2020-05-24,Daily hospital occupancy,31.0,Oceania,107.0,4.0,5.0,31.0,3.84,26177410.0
Australia,AUS,2020-05-24,Daily hospital occupancy per million,1.184,Oceania,107.0,4.0,5.0,31.0,3.84,26177410.0
Australia,AUS,2020-05-31,Daily ICU occupancy,3.0,Oceania,107.0,0.0,3.0,20.0,3.84,26177410.0
Australia,AUS,2020-05-31,Daily ICU occupancy per million,0.115,Oceania,107.0,0.0,3.0,20.0,3.84,26177410.0
Australia,AUS,2020-05-31,Daily hospital occupancy,20.0,Oceania,107.0,0.0,3.0,20.0,3.84,26177410.0
Australia,AUS,2020-05-31,Daily hospital occupancy per million,0.764,Oceania,107.0,0.0,3.0,20.0,3.84,26177410.0
Australia,AUS,2020-06-07,Daily ICU occupancy,3.0,Oceania,107.0,0.0,3.0,19.0,3.84,26177410.0
Australia,AUS,2020-06-07,Daily ICU occupancy per million,0.115,Oceania,107.0,0.0,3.0,19.0,3.84,26177410.0
Australia,AUS,2020-06-07,Daily hospital occupancy,19.0,Oceania,107.0,0.0,3.0,19.0,3.84,26177410.0
Australia,AUS,2020-06-07,Daily hospital occupancy per million,0.726,Oceania,107.0,0.0,3.0,19.0,3.84,26177410.0
Australia,AUS,2020-06-14,Daily ICU occupancy,4.0,Oceania,107.0,0.0,4.0,17.0,3.84,26177410.0
Australia,AUS,2020-06-14,Daily ICU occupancy per million,0.153,Oceania,107.0,0.0,4.0,17.0,3.84,26177410.0
Australia,AUS,2020-06-14,Daily hospital occupancy,17.0,Oceania,107.0,0.0,4.0,17.0,3.84,26177410.0
Australia,AUS,2020-06-14,Daily hospital occupancy per million,0.649,Oceania,107.0,0.0,4.0,17.0,3.84,26177410.0
Australia,AUS,2020-06-21,Daily ICU occupancy,2.0,Oceania,107.0,0.0,2.0,18.0,3.84,26177410.0
Australia,AUS,2020-06-21,Daily ICU occupancy per million,0.076,Oceania,107.0,0.0,2.0,18.0,3.84,26177410.0
Australia,AUS,2020-06-21,Daily hospital occupancy,18.0,Oceania,107.0,0.0,2.0,18.0,3.84,26177410.0
Australia,AUS,2020-06-21,Daily hospital occupancy per million,0.688,Oceania,107.0,0.0,2.0,18.0,3.84,26177410.0
Australia,AUS,2020-06-28,Daily ICU occupancy,1.0,Oceania,108.0,1.0,1.0,15.0,3.84,26177410.0
Australia,AUS,2020-06-28,Daily ICU occupancy per million,0.038,Oceania,108.0,1.0,1.0,15.0,3.84,26177410.0
Australia,AUS,2020-06-28,Daily hospital occupancy,15.0,Oceania,108.0,1.0,1.0,15.0,3.84,26177410.0
Australia,AUS,2020-06-28,Daily hospital occupancy per million,0.573,Oceania,108.0,1.0,1.0,15.0,3.84,26177410.0
Australia,AUS,2020-07-05,Daily ICU occupancy,6.0,Oceania,109.0,1.0,6.0,34.0,3.84,26177410.0
Australia,AUS,2020-07-05,Daily ICU occupancy per million,0.229,Oceania,109.0,1.0,6.0,34.0,3.84,26177410.0
Australia,AUS,2020-07-05,Daily hospital occupancy,34.0,Oceania,109.0,1.0,6.0,34.0,3.84,26177410.0
Australia,AUS,2020-07-05,Daily hospital occupancy per million,1.299,Oceania,109.0,1.0,6.0,34.0,3.84,26177410.0
